id_pagos,amount,created
Bpk9TPcmDuHn8DqIHN06,3920,2024-10-31T18:22:51.638Z
tEkx0nZikOt10yBlAxDT,6040,2024-10-31T18:14:01.947Z
sMgKyFpf2HoyLb78iZ6Z,2147.95,2024-10-31T18:02:30.843Z
iUgAwtPb8w76J3ZiQYy9,48970,2024-10-31T17:54:10.250Z
Z0F2MwlVY98vhYdqgzoE,10000,2024-10-31T17:54:02.609Z
6EGc7CXv1pthZ71TE1LR,21720,2024-10-31T17:53:26.423Z
KXu0O35G9cFvfWCT0Wle,350,2024-10-31T17:53:22.081Z
QWCLxTWSjt1bdlcykiPr,9950,2024-10-31T17:47:30.614Z
69vK8acFAOtnWGZ8Rjil,3000,2024-10-31T17:40:50.722Z
BgDdH49ZmJqVeKsx9A4y,240,2024-10-31T17:37:37.494Z
hkrL2VEqqSW5HqNq75jO,2327.5,2024-10-31T17:35:49.091Z
3RtBn2edkjV63daNtDIy,3191,2024-10-31T17:33:43.838Z
nSefZThyRnLCHyoP1EXq,3116,2024-10-31T17:31:40.601Z
dgQ7aHXp4N5jUamemPwQ,14100,2024-10-31T17:23:02.348Z
6GqhfGzAEG1ZvU0AidJ1,6283,2024-10-31T17:22:53.270Z
S7jkdPu5FCkpRlHSrDXi,10000,2024-10-31T17:18:20.055Z
iuhls8RfsZDMfUTuigwk,220,2024-10-31T17:17:03.275Z
O7IC67FZB9YUGhAvhdKe,2000,2024-10-31T17:12:56.114Z
b4sgCDRgXD3gq9tYmFSs,450,2024-10-31T17:06:19.936Z
m5gyuopwfXh48vY0k9OA,5390.14,2024-10-31T17:04:19.473Z
mqWt5K8Xx9a2LmYZYUgE,6738,2024-10-31T17:00:36.864Z
ffph8siM6RjL9wO94t9r,1871.5,2024-10-31T16:53:50.382Z
8sQhiS0vooWEuCEl1urM,910,2024-10-31T16:53:26.827Z
83tZjzmuFSkVOVNkzOYN,900,2024-10-31T16:51:04.814Z
DEwsp4JjzAuiHA1BCUq5,11800,2024-10-31T16:49:13.751Z
cc4vDX4XNa7221txgyPA,18971.59,2024-10-31T16:32:48.087Z
3QpPiulNwnFnoFVT7hlp,2090,2024-10-31T16:30:20.571Z
PFChqgMIiQQjyhkrTKcu,3800,2024-10-31T16:24:30.125Z
YADWGWb6TbC2hRytoQ16,910,2024-10-31T16:24:04.474Z
GkgvBjOKWZzBurTdsyVv,4935.25,2024-10-31T16:11:16.775Z
iuIgsgc8wBLkjMwW78gF,1560,2024-10-31T16:10:46.325Z
NPipcEDX7HZc2G2n4utA,2550,2024-10-31T16:06:34.253Z
YJCCHRjUSd50eZDHsagG,8927.15,2024-10-31T16:04:10.057Z
ivMe4l4m3XmJRsCFDarp,385,2024-10-31T15:54:32.878Z
eVSrqFe9kY8KYCB625f3,385,2024-10-31T15:53:58.024Z
5GBG4FYPcgwlrT8ADLhQ,385,2024-10-31T15:53:21.142Z
cC5x8QZrps2LlSJtrVzK,385,2024-10-31T15:52:33.820Z
7L5WwqpDpyVoDa1OLuuE,1540,2024-10-31T15:52:04.456Z
W8p1rewCkLlI4Gqym1co,12332.25,2024-10-31T15:51:47.215Z
dL3qREpV6WKXmce5by1D,385,2024-10-31T15:51:31.982Z
xy1jQEszXEvOrOV4DlWf,3080,2024-10-31T15:50:56.433Z
8Pl57kvcbbX0N8pkcAb5,385,2024-10-31T15:50:22.950Z
6o9zzyBNNqsevlp0CZUs,385,2024-10-31T15:49:20.420Z
YG1GIMbvbSZHdQXrXloV,770,2024-10-31T15:47:56.424Z
VpDMc8ZAUI4BZKak0Rsk,480,2024-10-31T15:45:14.951Z
7NBHpflGZJtMGIMm9LDL,4310,2024-10-31T15:41:26.304Z
sfiUiZA8vEkFxmtnRn4J,3000,2024-10-31T15:38:53.127Z
kutX3RgPEbiAPieffo9O,11500,2024-10-31T15:38:42.601Z
fFnMGPDMQIXF70qMNV2E,4500,2024-10-31T15:38:39.447Z
alYpJWqwp2ynjJRIMKkR,200,2024-10-31T15:35:06.737Z
fiwEfuBFOv7VqkQ8tYnf,2248,2024-10-31T15:31:43.744Z
fL0RZOmehDNjZhV21aoo,700,2024-10-31T15:25:25.406Z
FPxe6z9nAHKXUh4cQkps,520,2024-10-31T15:22:58.478Z
gwKsY2gvCL2EXd8NYDj4,9472,2024-10-31T15:20:07.865Z
moDzJ22pNUv3NrmQpIL9,4680,2024-10-31T15:17:51.457Z
W04dw4yNPVod5YDX06g8,13001,2024-10-31T15:15:13.808Z
nUH3Aq6VFp2zjxgHD6Jm,6000,2024-10-31T15:12:09.724Z
wPQvlob4j6PcCnnilCYy,2375,2024-10-31T15:08:53.095Z
AxwbEYTL5XnAbzaWB8Xw,4700,2024-10-31T14:56:52.955Z
etYPPPquT7jAXNsEAf2k,600,2024-10-31T14:52:39.759Z
bCIlMtpozi8gQJ0LoSx1,1596,2024-10-31T14:49:12.968Z
D9Iir3khXyYqh9AdyVHF,100,2024-10-31T14:46:13.865Z
9rr7ASRQuXFi96bKrPCr,1500,2024-10-31T14:44:27.966Z
btqkObXJsn2TeUCszHPe,2565,2024-10-31T14:40:11.146Z
Ye1xLyZbCaywswiAPicH,50,2024-10-31T14:29:52.696Z
0ncqlh7AfGUrHXLbR46Q,2959.74,2024-10-31T14:29:30.234Z
iaZ2QyPuuQsHmTchdpxe,960,2024-10-31T14:28:50.847Z
OeDtUMapQb9Ck3fec5DQ,300,2024-10-31T14:25:57.168Z
6Toz3jkrEGLLLyqByu7j,750,2024-10-31T14:25:43.498Z
fFGR8b0ctoz3u6aGnUsk,850,2024-10-31T14:23:31.560Z
4qXfcHgh4jqT1jfM65nr,570,2024-10-31T14:14:13.023Z
iBJlX8ioeNL8VxM4aKEp,5690,2024-10-31T14:12:45.941Z
cEx36OMVa0WvhyvXMhDj,10000,2024-10-31T14:09:05.563Z
Gfc3vlxBup4mj4n37I2D,1755,2024-10-31T14:07:26.109Z
Rm59BeLpzXIFDkeyYNBb,400,2024-10-31T14:07:12.909Z
nOttGf0MzLHukBIbFu0K,920,2024-10-31T14:04:53.273Z
leQqCBfgD41fTz0Rb5vM,750,2024-10-31T14:01:17.302Z
ZFAqKuDJiXRS8G2joVR2,4000,2024-10-31T13:59:24.318Z
ML28sFKKjV2d3r94NYQL,5868.15,2024-10-31T13:59:13.416Z
0hO7OGU97DNqDlIE4wLs,2500,2024-10-31T13:59:05.149Z
ORNWeh8K2dqfcibAXPay,1950,2024-10-31T13:57:28.759Z
o8VmrekmX6V0Q6gup8Pm,2000,2024-10-31T13:54:51.303Z
CtWWlbPkuHBzuJEtMEG1,670,2024-10-31T13:46:30.411Z
3UBm4Qaz9i9jtwGRSIN6,8090,2024-10-31T13:38:14.834Z
qDVyhu2Ep91YsyyFUXoS,7236.7,2024-10-31T13:33:53.159Z
VJcwOA1aLe8s1Nvb1wVU,5220,2024-10-31T13:26:26.299Z
wEWUvNJLzEswZC6ulyKA,4000,2024-10-31T13:23:04.848Z
rrtHhKHnHdyTs5jF5Z0A,5600,2024-10-31T13:22:32.806Z
v4ojkYkLHjuwCeIbbFoV,1580,2024-10-31T13:22:21.870Z
fYEDEyvyF134b1X903Ta,1700,2024-10-31T13:20:20.804Z
b0tPIYAJ3SJBsjSVDRhD,1080,2024-10-31T13:19:52.217Z
yzF2qERvxzwS8kwGDlTa,2720,2024-10-31T13:18:29.672Z
rC1EArNqEZKckRRIwTd6,720,2024-10-31T13:15:42.662Z
49juhOw7m6V2K07APrui,10210,2024-10-31T13:15:27.273Z
C5FyRdXkkzBi71uX1ce1,8242,2024-10-31T13:15:01.406Z
jSuNbmqcKjmVc5OqE6NW,3050,2024-10-31T13:10:16.027Z
2sRo5r1fzUrzq2X86H3Y,3970.8,2024-10-31T13:08:49.529Z
7eD9palZzV5frr4vNjZj,750,2024-10-31T13:07:30.594Z
DXglFoOo5jERRirnZJaE,10440,2024-10-31T13:06:50.352Z
7zGpCSCUsNfEwEDXaRxd,2730,2024-10-31T13:01:21.817Z
FHNvxBvARlD3QeTp1cFa,10650,2024-10-31T13:00:10.070Z
IZLNBsf9mlQFqOi6bT4o,2124,2024-10-31T12:59:53.626Z
BpUm3H97gQwYlu7iCvBH,3790.5,2024-10-31T12:50:15.824Z
9Rt59NwUvRbsUnSqmuRl,6560,2024-10-31T12:48:23.955Z
ESPKVxmt0n4H90TsvoLm,4322.5,2024-10-31T12:46:36.082Z
C3nCWG8Xc1E6trVpmk6b,3550,2024-10-31T12:42:43.627Z
9FegD7ns7iSmxrAKgke8,9765,2024-10-31T12:37:26.498Z
8uXh51xTYabeZFHIst4z,1820,2024-10-31T12:37:00.602Z
fUmEhm8h75KpxsyM0C8L,2147,2024-10-31T12:35:40.922Z
AqB82VgndwNCQw8fEtsE,4000,2024-10-31T12:34:21.991Z
HgYZhBeJ7Zcpd5qNFexU,2280,2024-10-31T12:33:54.817Z
I6KWHDsyKPW6DhMwOb93,500,2024-10-31T12:32:18.908Z
r65W1Mn29Yv362ILMnxS,2851,2024-10-31T12:30:48.185Z
HT944drWIO3TPgT8kj9K,750,2024-10-31T12:30:27.999Z
rcEDFqlBxE8EOGtPZ6xt,5070,2024-10-31T12:27:34.990Z
baAo6J5sdVcsGs4DPKa9,500,2024-10-31T12:24:36.018Z
Ffj85hs0YYEB8tYsow0o,300,2024-10-31T12:23:06.459Z
Iva9ZeWcAbaND19t56Mr,1080,2024-10-31T12:21:22.848Z
gOcwUbob8GNxg5VsSNVs,9930,2024-10-31T12:20:53.008Z
mdNk2wRNWOwHLhagPkbz,1490,2024-10-31T12:14:46.188Z
KVnwZIbCsOzdypJLilin,16250,2024-10-31T12:12:39.472Z
