pagos,products,total
"[{""__ref__"":""pagos/nWyeSY5Etwmj1rn1PSF4""},{""__ref__"":""pagos/unyTzRH5ih6uY89aaiPz""}]","[{""__ref__"":""productosSeleccionados/BJqwdSt09TYKFoHd2v4f""},{""__ref__"":""productosSeleccionados/kTirjI6Q5upxB4NQ5dGo""},{""__ref__"":""productosSeleccionados/6BIfbgM1zrv1jGt3NVLV""}]",7434
"[{""__ref__"":""pagos/Dp7IZuihw6yfsAOa2BC9""}]","[{""__ref__"":""productosSeleccionados/BjszZJ1GS9YcIVuWvqjF""}]",600
"[{""__ref__"":""pagos/PuZIo4jLNwJxZjoqDqB1""}]","[{""__ref__"":""productosSeleccionados/BJtVIekvdTK5bqKTSzpA""}]",590
"[{""__ref__"":""pagos/7AP1Mk5EUQ6ETcp6w4Ok""}]","[{""__ref__"":""productosSeleccionados/BjUp1HTTfu8BavCxF5iq""}]",36125
"[{""__ref__"":""pagos/eXUthj9YmqQFWAtkGO0C""}]","[{""__ref__"":""productosSeleccionados/bK2k4FDJiIcHfwJCiVuA""}]",860
"[{""__ref__"":""pagos/qTtHVJOhSYC13fogehhR""}]","[{""__ref__"":""productosSeleccionados/bk9DX98uXQk48IbX1cQg""}]",19626.92
"[{""__ref__"":""pagos/Gk76QQq1GVOxxrEg7uZo""}]","[{""__ref__"":""productosSeleccionados/BkFCFbFW3ShsSW0u1odK""},{""__ref__"":""productosSeleccionados/HwObyNWw4kv0DsTlffOu""}]",4088
"[{""__ref__"":""pagos/0xRdzlww3h0uPvQ6juXi""},{""__ref__"":""pagos/S4DTLPdorCPkyHdVkFb7""}]","[{""__ref__"":""productosSeleccionados/bkJpwg5jE2gbogfdPdaN""}]",7900
"[{""__ref__"":""pagos/zuNdwLoEHWYQaif2H5dl""}]","[{""__ref__"":""productosSeleccionados/BkLXdVdWQymCu0asFWK0""},{""__ref__"":""productosSeleccionados/1ySYtK7xvr8VMRc9M28v""},{""__ref__"":""productosSeleccionados/psulHmgbsCgEiNngLTnZ""}]",6722
"[{""__ref__"":""pagos/qnCQO42KqB2FLnfSfofa""}]","[{""__ref__"":""productosSeleccionados/BkoKli5MjEDaxTu3EL2p""},{""__ref__"":""productosSeleccionados/acH2OMkFyq4hGSaESIZd""},{""__ref__"":""productosSeleccionados/1Hu9mrzCoBA8UNhm8Hql""}]",2318
"[{""__ref__"":""pagos/b4MUuQVbQejlZpJOrhcb""}]","[{""__ref__"":""productosSeleccionados/bKPVoV2wZRXPspgFYBRU""}]",2576
"[{""__ref__"":""pagos/acMgtYX8BbW2bktPqQwP""}]","[{""__ref__"":""productosSeleccionados/BlaesHfGCKjgTgBtv3kb""}]",2550
"[{""__ref__"":""pagos/AYVzrSeIfLuLiCOKb7i6""}]","[{""__ref__"":""productosSeleccionados/bLBdbor13b6G8G2hBe3y""}]",25452
"[{""__ref__"":""pagos/PoPZjaAQDxXcaMGyaF7H""}]","[{""__ref__"":""productosSeleccionados/bLcKwk56mGXahw298gUE""}]",360
"[{""__ref__"":""pagos/pZfA12yuKpP9UyhuZwrP""}]","[{""__ref__"":""productosSeleccionados/bLe4vZkXyg6aR5QpWtgs""}]",1560
"[{""__ref__"":""pagos/C3X8mqZE4qlXp1pqUBhy""},{""__ref__"":""pagos/Y6iQ2fDhUxlIcY3MwDAR""}]","[{""__ref__"":""productosSeleccionados/BLEMmy5MErBxSdJndxRY""},{""__ref__"":""productosSeleccionados/eW0QrC7yNz0FAlWUmCbi""},{""__ref__"":""productosSeleccionados/0lPHsI6X2FUCLr01KCnt""},{""__ref__"":""productosSeleccionados/YRSfRLe1pW0nhAxU98U9""}]",30100
"[{""__ref__"":""pagos/yBoo0CARLJRPUDLUhlbU""}]","[{""__ref__"":""productosSeleccionados/BlF6GXiWfjbf0wofmN3W""}]",750
"[{""__ref__"":""pagos/gWh2eWCcPSVz5u4Sl8uJ""}]","[{""__ref__"":""productosSeleccionados/blIYbugfZm3w3f6bXGU9""}]",4788
"[{""__ref__"":""pagos/mqWt5K8Xx9a2LmYZYUgE""}]","[{""__ref__"":""productosSeleccionados/BLj4l3VRKpIMRNcB2ETz""},{""__ref__"":""productosSeleccionados/awsqjsL7p7g7xvVk7cdA""}]",6738
"[{""__ref__"":""pagos/aJTzNIOxYEAvQGXuD7uv""}]","[{""__ref__"":""productosSeleccionados/BlJ7s4l1jx6moPDnYGq3""}]",3320
"[{""__ref__"":""pagos/tpGDpDsbjzdtFQevrAwO""}]","[{""__ref__"":""productosSeleccionados/bljaKtg8PCE2vI7qVOCq""}]",151725
"[{""__ref__"":""pagos/JcnqkKUwiuDl3crXVmo1""}]","[{""__ref__"":""productosSeleccionados/BlK8UMczILNePGvWkJmd""},{""__ref__"":""productosSeleccionados/n6x2wth3V3SQZntuuwhy""}]",25650
"[{""__ref__"":""pagos/7klNDnc6P982EFfQ9pVH""}]","[{""__ref__"":""productosSeleccionados/bLlSuCuRQfI603DQPdEb""},{""__ref__"":""productosSeleccionados/Oq7ebkeSXAMcbLqaesE4""}]",1704
"[{""__ref__"":""pagos/BPsPrcVOiYKho2hd14CS""},{""__ref__"":""pagos/6NVWSLnvohWVMMaXbOQm""}]","[{""__ref__"":""productosSeleccionados/BLoM7PS5IocZyhnXeRWW""}]",36844.8025
"[{""__ref__"":""pagos/lTnoGXNOdKHSYiMmzeJC""}]","[{""__ref__"":""productosSeleccionados/BLqTyvQsJsw4eVZb44ek""}]",10080
"[{""__ref__"":""pagos/utY4DzAizKBZq1XNVCO1""}]","[{""__ref__"":""productosSeleccionados/BLUhV6jPzAN6nYeCVjq1""}]",6161.13
"[{""__ref__"":""pagos/2c2NOwchLw1x2gNx4uod""}]","[{""__ref__"":""productosSeleccionados/bLwGcjGo8Qeq7MK5SYjz""}]",712.5
"[{""__ref__"":""pagos/NoySzLThztFuMySIv6e3""}]","[{""__ref__"":""productosSeleccionados/BLWKVd0B8ov0LG4YrDFw""},{""__ref__"":""productosSeleccionados/lUY67QlMUFvW2n0nRD7k""}]",3870.8
"[{""__ref__"":""pagos/50lXTMpveoNXDTEdh0bc""}]","[{""__ref__"":""productosSeleccionados/bm4nrImd6dMh8xisFd3E""},{""__ref__"":""productosSeleccionados/dqqJGFZPHMmcILXvniz9""}]",16542
"[{""__ref__"":""pagos/JriAD1qwgqgZs3XfY3Wn""}]","[{""__ref__"":""productosSeleccionados/BM8xX0ZplG3IqquVM5nF""},{""__ref__"":""productosSeleccionados/3winPfDBk3jHAHH4VAXD""}]",39412.12
"[{""__ref__"":""pagos/jrdCiVgnBUJTn6A2pxuQ""}]","[{""__ref__"":""productosSeleccionados/bmLtpFPVr0Zrp9mSB36X""}]",2490
"[{""__ref__"":""pagos/vxYndNl7ANKrW0v53BFW""}]","[{""__ref__"":""productosSeleccionados/BmOOZKTiuCGyuexGPLQT""}]",5600
"[{""__ref__"":""pagos/eMkGTa0UVVxL1zy3RZ1Q""}]","[{""__ref__"":""productosSeleccionados/Bmq5aJSwNg1EMTJGz5P3""}]",1000
"[{""__ref__"":""pagos/SHUM5IhC6MjQ6XzE2SQh""}]","[{""__ref__"":""productosSeleccionados/BmqrKSxqVznlucXsSW0Q""},{""__ref__"":""productosSeleccionados/esBiinfwBAG1UoqjlrkW""}]",5177
"[{""__ref__"":""pagos/6wSncsusHZ9RvfYO1WVE""}]","[{""__ref__"":""productosSeleccionados/BmTHvUHIxBJJt72tx2lS""}]",18370
"[{""__ref__"":""pagos/7iNPLNUT01epf3NIwA1s""}]","[{""__ref__"":""productosSeleccionados/BMVmpoKEuKDuqZBZptlT""}]",1300
"[{""__ref__"":""pagos/sfinM6p6CdW4X2YO1Q7z""}]","[{""__ref__"":""productosSeleccionados/BN6A3lszAXZ6J0ETyS9U""},{""__ref__"":""productosSeleccionados/3ot0I5q4lUpNGrYF7hxq""}]",5919.48
"[{""__ref__"":""pagos/iYC8BW9iaGQF6uHVinoB""},{""__ref__"":""pagos/VqXXQdm0V8RjkNILQQwR""}]","[{""__ref__"":""productosSeleccionados/Bn6WXeZ4xPHtGmyhS91u""},{""__ref__"":""productosSeleccionados/pOHBr4qbY5hctytLycZ4""},{""__ref__"":""productosSeleccionados/EPteQKX8n6aBQev14f8f""},{""__ref__"":""productosSeleccionados/QnKNWd81XNiyzde4FKCN""}]",85540
"[{""__ref__"":""pagos/71Nt6EyOpG3q7UNlwTj0""}]","[{""__ref__"":""productosSeleccionados/BN9rhV6vbZiJTNSblRg0""},{""__ref__"":""productosSeleccionados/embtmMLWl4n0e6FhY3fk""},{""__ref__"":""productosSeleccionados/tty1USOFQOE5N3lu03GM""},{""__ref__"":""productosSeleccionados/G3uclToAM3lT49KugPkX""},{""__ref__"":""productosSeleccionados/8ImiCU44KUZNHmcY8YFz""}]",8543.2
"[{""__ref__"":""pagos/kWjJeGLKvvUAIM1Pf654""}]","[{""__ref__"":""productosSeleccionados/BncrxfZvo8ICQxcCcIGA""}]",401
"[{""__ref__"":""pagos/2yhPkRWpQfn95U63ENaH""}]","[{""__ref__"":""productosSeleccionados/BNMK55wZhp4sZo75ufVt""}]",2095.7
"[{""__ref__"":""pagos/OnOU2XVa4lxg3Y8xvBHK""},{""__ref__"":""pagos/XmiyJCMwIwT3JgK3uYYQ""}]","[{""__ref__"":""productosSeleccionados/bNnF78DQmTFD2itnhJb4""},{""__ref__"":""productosSeleccionados/1So4o5ZnTaeeYN93g0AN""}]",15972
"[{""__ref__"":""pagos/QgaaeMiZ7LQ8tj8GMuAZ""}]","[{""__ref__"":""productosSeleccionados/bNNyw8StCpKyND9D9YbS""}]",4176
"[{""__ref__"":""pagos/M5PzrDBYkglhijDLZtQM""}]","[{""__ref__"":""productosSeleccionados/BNQVplg8HiVlFApuGvra""}]",11500
"[{""__ref__"":""pagos/B5b2KWAPpqqShjrUz8bI""}]","[{""__ref__"":""productosSeleccionados/bnTcKOWjBogQgkQ0UeQ3""}]",11373.5
"[{""__ref__"":""pagos/LpqQdIRl9uC8kAVzYapu""}]","[{""__ref__"":""productosSeleccionados/BnTkL4Lecusf9Z5m4zvh""},{""__ref__"":""productosSeleccionados/DbFoNtR81CCv9naux3xe""}]",10380.51
"[{""__ref__"":""pagos/mnwJwkAyedoCW7HtJj1o""},{""__ref__"":""pagos/8sj0zvGlOUHy3bopm5KX""}]","[{""__ref__"":""productosSeleccionados/BNWcFNZVmxF10LttFxct""},{""__ref__"":""productosSeleccionados/Nu24c5x1RWxC4KN6fL1z""}]",5490
"[{""__ref__"":""pagos/pJHo70WyyhakY7lnOmte""}]","[{""__ref__"":""productosSeleccionados/BnxBRvUjt8XHCTzPub3E""},{""__ref__"":""productosSeleccionados/nsWShzZio1cNVKluebts""},{""__ref__"":""productosSeleccionados/VKgAl4y0gi690q4l5TTv""},{""__ref__"":""productosSeleccionados/bhwlTmAm0bje7XjP8Ax5""},{""__ref__"":""productosSeleccionados/bUvo11IXPbpXvGN9myBf""}]",5310.5
"[{""__ref__"":""pagos/unFZypJhkEoMSCD6Yqlg""}]","[{""__ref__"":""productosSeleccionados/bNZRj6Qxv1CSA4c12EYj""},{""__ref__"":""productosSeleccionados/TQfTwC6YQqVbmFu25nZU""}]",9540
"[{""__ref__"":""pagos/QZbbYes7eAuiiYZKg0u9""},{""__ref__"":""pagos/hgyuWJGbNh8QbFiDtimG""}]","[{""__ref__"":""productosSeleccionados/boDr1FY63OTpECYnGpcB""}]",4229
"[{""__ref__"":""pagos/2s9j2ImZbQtTNQStSC0p""},{""__ref__"":""pagos/MBlHeg14gLp7Sgxdi02D""}]","[{""__ref__"":""productosSeleccionados/BoIrKdKBoB1ZgkJI14HQ""}]",13148.5497
"[{""__ref__"":""pagos/BWtHqpRKebAt6qGf5mwz""}]","[{""__ref__"":""productosSeleccionados/BoKbAeXIQL3Dr3ff2bEn""},{""__ref__"":""productosSeleccionados/l4JEKzdDvi3ZmHGoL6BQ""},{""__ref__"":""productosSeleccionados/9G9r8EItEV09Ft0WKjAo""}]",3482.76
"[{""__ref__"":""pagos/rLkkCGmEfTe6zDOld7b5""}]","[{""__ref__"":""productosSeleccionados/bOKLjMOejZSgV2hYW1Ui""}]",700
"[{""__ref__"":""pagos/3cQYN3GlkdoNPdyjyeJx""},{""__ref__"":""pagos/k9vEcd9sdp0fl1Ny0cCf""}]","[{""__ref__"":""productosSeleccionados/BOLgiap7qL9nIsUpDmoY""},{""__ref__"":""productosSeleccionados/kf1oDzVHPrRgyXUp13ix""},{""__ref__"":""productosSeleccionados/dVdbOmrOeJ0AiuGme394""}]",107181.8
"[{""__ref__"":""pagos/fiZloVnDtb2RY5N5fqjU""}]","[{""__ref__"":""productosSeleccionados/bou498q5UjCgeNRilY2D""}]",2600
"[{""__ref__"":""pagos/Ng4yNMBQiLLlFlI7BMN4""}]","[{""__ref__"":""productosSeleccionados/BOvrNHAmIxixjQwcttUy""},{""__ref__"":""productosSeleccionados/kyljYlA7ucM8ktzt8F6L""}]",269
"[{""__ref__"":""pagos/R33BaaFBEPCl4Q71mtPD""}]","[{""__ref__"":""productosSeleccionados/bOvTyXNRXXOgnq45Sj4B""}]",120
"[{""__ref__"":""pagos/W65cCfgtSsgQBrUvSoHs""}]","[{""__ref__"":""productosSeleccionados/BoXkvZ49CAZ9XNsgA2Dw""},{""__ref__"":""productosSeleccionados/YCoy96cIYiT40SWy7c0A""}]",750
"[{""__ref__"":""pagos/h9Ab3wK8NHc1C8E7MX7w""}]","[{""__ref__"":""productosSeleccionados/bp0EjYZy5CG3wQqkpUK6""},{""__ref__"":""productosSeleccionados/KsB3zgHcVpuq37Ql7sUO""},{""__ref__"":""productosSeleccionados/ZUWodIOCluSKmswY2aQd""}]",8640
"[{""__ref__"":""pagos/cx7eLU6QOD14Ms1u0lab""}]","[{""__ref__"":""productosSeleccionados/Bp0FWON7FLjxmHRVfuP7""}]",680.82
"[{""__ref__"":""pagos/VV7cMSi6XnOpRiqE1vNi""}]","[{""__ref__"":""productosSeleccionados/BP0mHT8nmNcXA30yHKuY""},{""__ref__"":""productosSeleccionados/i7mMps5D25cC8EYyBgeN""},{""__ref__"":""productosSeleccionados/LS5qyEE0QmAsKt0qtnhw""}]",5136
"[{""__ref__"":""pagos/O7JVn226BmmK6Zf4Xde1""}]","[{""__ref__"":""productosSeleccionados/bp2MAAcjUL9Xx2HmDqru""},{""__ref__"":""productosSeleccionados/RSLESivPKdsMux5E5V6J""}]",1780
"[{""__ref__"":""pagos/jxWOUZ8YElNT9AmcUsgd""}]","[{""__ref__"":""productosSeleccionados/Bp3EF38nSCAt1Z6hmVb0""},{""__ref__"":""productosSeleccionados/5tW7yWohrPNA7fFhiQbh""},{""__ref__"":""productosSeleccionados/LCS1aa0HbaCHC7RkCwb1""},{""__ref__"":""productosSeleccionados/BvEZZefmGaqiXIVckYpH""},{""__ref__"":""productosSeleccionados/V1nOAD2tB6D2Hfq4Ybew""}]",2744
"[{""__ref__"":""pagos/DcVNDfPcP56xWlMdvlD5""}]","[{""__ref__"":""productosSeleccionados/BP4mgYiztzTOZydeHYwE""}]",47796.21
"[{""__ref__"":""pagos/vK76enoIYeOzqZt6CZak""}]","[{""__ref__"":""productosSeleccionados/Bp5wwDdtcDHwIMEhj6VC""}]",1360
"[{""__ref__"":""pagos/myqLGjfFD4qYa3LVXhXk""}]","[{""__ref__"":""productosSeleccionados/Bp8MZABxOQvaIf32xVUM""}]",1330
"[{""__ref__"":""pagos/k44qkbjvAP6pXnLbHLjI""}]","[{""__ref__"":""productosSeleccionados/BPCEujc19Ny9DcYgOBFa""},{""__ref__"":""productosSeleccionados/g6aJ4hwiDQtCi734hAz4""}]",7933.19
"[{""__ref__"":""pagos/Km15buu8x7eS2ZJl6iOJ""}]","[{""__ref__"":""productosSeleccionados/bPerjIGSnJqToMVxv5tT""}]",870
"[{""__ref__"":""pagos/QyGMdJ8P5dpPfkk2NW09""}]","[{""__ref__"":""productosSeleccionados/BPf1ZQcot0CUBvot9ovg""},{""__ref__"":""productosSeleccionados/eQqElYhix5gAjFHvZunE""},{""__ref__"":""productosSeleccionados/KMvB3GNaWL0zA1aOEuTI""},{""__ref__"":""productosSeleccionados/CZMM06cR98dFbW0Fqsjo""},{""__ref__"":""productosSeleccionados/ur8Dqm7cqEh711aK71sY""},{""__ref__"":""productosSeleccionados/e0qyPN0MYIuLO4eTCDZV""},{""__ref__"":""productosSeleccionados/NdUm8HcxBXQo3vTLfWIw""},{""__ref__"":""productosSeleccionados/hKzoSNDGPtEtqEvH4N7N""}]",50326.32
"[{""__ref__"":""pagos/PmU8NifvYjehCBFjhQEm""}]","[{""__ref__"":""productosSeleccionados/BpFfw03wQAwIdVq2mdbK""},{""__ref__"":""productosSeleccionados/VcXRp3Xl8BWNkv4USHM0""},{""__ref__"":""productosSeleccionados/6xuSUopkCqjoANGS4Xdz""}]",125486.68
"[{""__ref__"":""pagos/KR6aOTB0qQ4YsQ8VubHh""}]","[{""__ref__"":""productosSeleccionados/bPfHuoYhkT9Al1hZXANd""}]",4465
"[{""__ref__"":""pagos/1sCawTVRKTcACrjIdZOY""}]","[{""__ref__"":""productosSeleccionados/BPGrgDMMqGJZ9ggHEgTi""},{""__ref__"":""productosSeleccionados/xZhrUeF86Utnlg9Pnpkd""}]",5011
"[{""__ref__"":""pagos/r8vF2YNuqH13e8aPMdux""},{""__ref__"":""pagos/gHIsoYCZfC56knHv4JDK""}]","[{""__ref__"":""productosSeleccionados/BpnZRF5y3KxPUw31UMBD""},{""__ref__"":""productosSeleccionados/u8gajSPCwrjUCr7tXNMZ""}]",12850.72
"[{""__ref__"":""pagos/saxPjpGzOdI7tMPFlS5h""}]","[{""__ref__"":""productosSeleccionados/bPPS7cL7oiE87TSnuJXl""},{""__ref__"":""productosSeleccionados/4niGiFOvY4cr0TPkq09V""},{""__ref__"":""productosSeleccionados/943au7wUCgkFqo0NohpQ""},{""__ref__"":""productosSeleccionados/ar0AndTAUwhg7IstKzH2""},{""__ref__"":""productosSeleccionados/RLg7nHLGv8oVb9bJIxlm""}]",213896.034
"[{""__ref__"":""pagos/3UBm4Qaz9i9jtwGRSIN6""}]","[{""__ref__"":""productosSeleccionados/bprmfqXahzdzXjhwb2ug""},{""__ref__"":""productosSeleccionados/jIuZpJ9n5qGyAe6zTpSJ""}]",8090
"[{""__ref__"":""pagos/oZX85fm0bAmeZJGHmNpt""}]","[{""__ref__"":""productosSeleccionados/BQ3sQmKUAeYSqgr0LwBQ""}]",6000
"[{""__ref__"":""pagos/2M4KJzIrxLjLV3cedcDw""}]","[{""__ref__"":""productosSeleccionados/BqfYa6Vg5W5aRdjVjkMf""}]",1421
"[{""__ref__"":""pagos/Okq16vnW0vfqnYwzxqnM""}]","[{""__ref__"":""productosSeleccionados/bQhU2uGYY3hutpFniwRe""},{""__ref__"":""productosSeleccionados/vbxfAxpJvBkoR6KuPkay""},{""__ref__"":""productosSeleccionados/mVabvOdyhFr0c3IcUbj7""}]",8281.4
"[{""__ref__"":""pagos/YG1ybkK8sh50OTP2avbv""}]","[{""__ref__"":""productosSeleccionados/BqJMvdP4MkojKGmvB50h""},{""__ref__"":""productosSeleccionados/2FmtP4Srphsepj7tWrpj""}]",198
"[{""__ref__"":""pagos/yBZes1CDrgBjiA95I4lb""}]","[{""__ref__"":""productosSeleccionados/BQK2crQjqsm0S8x0bNUw""}]",893
"[{""__ref__"":""pagos/fGDiiuxlEW8spXM1Hz6O""}]","[{""__ref__"":""productosSeleccionados/BqNFVZlp37QiVNwNAUSV""}]",280
"[{""__ref__"":""pagos/es9DpYIil4830SmOr62R""},{""__ref__"":""pagos/339oLKJah3GMi6gdibr9""}]","[{""__ref__"":""productosSeleccionados/bQnhLaaltglbtdg0hIut""}]",13750
"[{""__ref__"":""pagos/mH5glqzPH9Ch6jdPsStj""}]","[{""__ref__"":""productosSeleccionados/bQS4uubOSL7cerYbeYw3""}]",2660
"[{""__ref__"":""pagos/yFxCPIyYanqXc3rT5QVx""}]","[{""__ref__"":""productosSeleccionados/BQtf37N8zrwWIj8Uj4tY""}]",400
"[{""__ref__"":""pagos/IAeRluYJwH6EfyqBYUcU""}]","[{""__ref__"":""productosSeleccionados/BR6COON2FrpCkWBiF3rT""},{""__ref__"":""productosSeleccionados/KnNsgHu96Czw86EThqJ1""},{""__ref__"":""productosSeleccionados/Le7MebtHvRLicDfKKi0K""},{""__ref__"":""productosSeleccionados/RerXft6ih4It3jgpNHOP""}]",12751.4
"[{""__ref__"":""pagos/X42zP8F1JXSld884TFTp""}]","[{""__ref__"":""productosSeleccionados/brB7dikFU8HDgKrUpIAN""}]",26250
"[{""__ref__"":""pagos/YWcRCK0J5bSHjewcGYMr""}]","[{""__ref__"":""productosSeleccionados/bRbNeSYLBP3GWnx6ilIL""}]",13452
"[{""__ref__"":""pagos/FSl3xyqyS4sOahZiSeVB""}]","[{""__ref__"":""productosSeleccionados/brDsYeTMXnZ54WZqNzTM""}]",1848
"[{""__ref__"":""pagos/n4nY3BFNIQV7VsQuPKJk""},{""__ref__"":""pagos/1r99Wsl3PkPzL3l0yiVz""}]","[{""__ref__"":""productosSeleccionados/bRIfhXiW2Kvb7427dxlj""},{""__ref__"":""productosSeleccionados/Vvpkn0WuFdiIdBgGM9jE""},{""__ref__"":""productosSeleccionados/qVaFsgBX6vUkEfabJ8HN""},{""__ref__"":""productosSeleccionados/iQ0E38uiTXao4elw09ui""}]",37990
"[{""__ref__"":""pagos/5284otP8O58VkiKBqpZT""}]","[{""__ref__"":""productosSeleccionados/brOr2zw8MShVCK7o6ZJq""}]",9300
"[{""__ref__"":""pagos/x4mHtzbiZUHEwrgeWz7W""}]","[{""__ref__"":""productosSeleccionados/brPbd1axFTB6SIlXuUE0""}]",10327.5
"[{""__ref__"":""pagos/w9MucW5NMEX7Hs7lwdr0""}]","[{""__ref__"":""productosSeleccionados/BRs7cUcW24eoGuliiLPf""},{""__ref__"":""productosSeleccionados/Au6EmRXQuDiilA6WaDvs""}]",489
"[{""__ref__"":""pagos/8qZhtEqE6BrZvfhkMbJ5""}]","[{""__ref__"":""productosSeleccionados/BrTW7TRyirbfQ6zld9pC""},{""__ref__"":""productosSeleccionados/9EllXxE908LOizdMKPmg""}]",599
"[{""__ref__"":""pagos/TwtyXYXML8gf4asHJs3A""}]","[{""__ref__"":""productosSeleccionados/BS0TxkUboE9v1CouCKE4""},{""__ref__"":""productosSeleccionados/PvdUot5rG2g1gm8wzIdy""},{""__ref__"":""productosSeleccionados/M5nafLJMmtHrzDgYx40b""}]",3260
"[{""__ref__"":""pagos/SAlOWQlz9YAeCm7vWFiV""}]","[{""__ref__"":""productosSeleccionados/Bs81M1PDtAAbdKHV7LR2""},{""__ref__"":""productosSeleccionados/PjJNq3WlLIzl3a11nW8Q""},{""__ref__"":""productosSeleccionados/Y5Te3hLpVg3oZYgZVNn0""}]",17154
"[{""__ref__"":""pagos/oK6JyTSwn232bRlYERjf""}]","[{""__ref__"":""productosSeleccionados/bs9lQhdJjs6ldVn7MaX7""}]",4956
"[{""__ref__"":""pagos/DIkQmbkWCl775rPjz7e9""}]","[{""__ref__"":""productosSeleccionados/BsA0IZFcwkwUtsTPwd2Q""}]",200
"[{""__ref__"":""pagos/gODqRjPdP31TsRHkTcRH""}]","[{""__ref__"":""productosSeleccionados/BSkSfaXU9I02XJS2AqiX""}]",16912.8
"[{""__ref__"":""pagos/XJBNtCypyyFMJn3f134G""}]","[{""__ref__"":""productosSeleccionados/bSlwTHEPxSXL8QesLLe0""}]",4500
"[{""__ref__"":""pagos/zZnB6ieTIepyy5LR7ccs""}]","[{""__ref__"":""productosSeleccionados/BSoRItG0uSYhpLSGlPRi""},{""__ref__"":""productosSeleccionados/IHnbMM4SzNEASZbSgXCF""},{""__ref__"":""productosSeleccionados/RZWLufUz2KA30UdHDkxG""}]",140662.5
"[{""__ref__"":""pagos/JVkKNBdzSaKcClO5pjcP""}]","[{""__ref__"":""productosSeleccionados/BsP7WCK1YwZQXmXqBre7""}]",5440
"[{""__ref__"":""pagos/nl2xhzh2QwHjwfPfTdfz""}]","[{""__ref__"":""productosSeleccionados/bSsSzmzvtSPDjp1qGHrp""},{""__ref__"":""productosSeleccionados/31grrekzLQosKRLRW938""}]",17226
"[{""__ref__"":""pagos/zwmzZTPMzfWcOeM7p2og""}]","[{""__ref__"":""productosSeleccionados/bsVXImNeDbFGGYZKEElX""}]",550
"[{""__ref__"":""pagos/InrkDC2LsnbbR52ZluOY""}]","[{""__ref__"":""productosSeleccionados/BsWeN0CZfPhV6MseAuOF""}]",5481
"[{""__ref__"":""pagos/eul7Y6O0TkbEzyJqQRDz""},{""__ref__"":""pagos/4Jrd9okNWBz2ox3Q6i1h""}]","[{""__ref__"":""productosSeleccionados/BsWHdr5gJuBhNde3Fwok""}]",21592.3048
"[{""__ref__"":""pagos/RCJfgWwmluOr2hgTwIq1""}]","[{""__ref__"":""productosSeleccionados/BsY2FNCeGxeVsoc7MN9r""}]",6389.7
"[{""__ref__"":""pagos/QgYBooW5qyniLHverF8w""}]","[{""__ref__"":""productosSeleccionados/BSYbrPzL7BXNolfxVP13""},{""__ref__"":""productosSeleccionados/IqItqRshcymEVCynJA3S""}]",1891
"[{""__ref__"":""pagos/ubxJFr6wBGUkwJENgZ3g""},{""__ref__"":""pagos/sHbXR9TUAzB2jSCxR5d3""}]","[{""__ref__"":""productosSeleccionados/BT187yFNmss6ptxQmS5J""}]",7453.1523
"[{""__ref__"":""pagos/EyKx6R6INfV2oQAIXYUq""},{""__ref__"":""pagos/iJhwJNQY4S9HwOL9eOhF""}]","[{""__ref__"":""productosSeleccionados/bt1OWduEJFI6ZPbRN232""}]",3344
"[{""__ref__"":""pagos/yJGJo0v1tcFWnlPZZIEm""}]","[{""__ref__"":""productosSeleccionados/BtB0XfdFVq7hjFwpxgrz""},{""__ref__"":""productosSeleccionados/nkjeOi4ovZnAbUzYNCwS""}]",2223
"[{""__ref__"":""pagos/lr9nStb2QZXSDgPoyUGY""}]","[{""__ref__"":""productosSeleccionados/btgXZmxurSjCgB54qMFO""},{""__ref__"":""productosSeleccionados/G8LnSUUFnVFOvYj0s9a4""}]",6699
"[{""__ref__"":""pagos/hoPUDE32BTaprJnP8ubo""}]","[{""__ref__"":""productosSeleccionados/bTtSgWv42J78IjGalmDq""}]",1900
"[{""__ref__"":""pagos/LR4YXLSjdBuWht75t9Ex""}]","[{""__ref__"":""productosSeleccionados/BtuCFJO90UQuTW0yMn5V""}]",600
"[{""__ref__"":""pagos/wqIrpcbY1xCcsoL3dQtZ""}]","[{""__ref__"":""productosSeleccionados/BtXuN5TEeXOC5eBUc4RC""}]",1800
"[{""__ref__"":""pagos/pOuMlossCK1DbDIJxlNd""}]","[{""__ref__"":""productosSeleccionados/btXW6o2hjkIN8h66NDNp""},{""__ref__"":""productosSeleccionados/aqwug4HOJXqHB9i7pcqR""}]",2781
"[{""__ref__"":""pagos/cFK2FgrKuLdZO6WZsaJK""}]","[{""__ref__"":""productosSeleccionados/BTYc8fyFIAdjFYPZRfXX""},{""__ref__"":""productosSeleccionados/TEwYulsItZOk10jtZUfy""}]",9700
"[{""__ref__"":""pagos/8sOdxe4Vsc3HTh9Ig8Hq""}]","[{""__ref__"":""productosSeleccionados/bu4CtKH25M0Sv9Qx6XEp""}]",2430
"[{""__ref__"":""pagos/sEc8aHkFME5U07w2JYUp""}]","[{""__ref__"":""productosSeleccionados/bu8fKPvjI9yBfNMdf2FS""}]",6420
"[{""__ref__"":""pagos/tZyLUJANN7ThYSPmlPIF""}]","[{""__ref__"":""productosSeleccionados/bug5wSJUKd0UbywSj8oI""},{""__ref__"":""productosSeleccionados/v8pL7LfpgPyQKtiVVbPf""}]",9195
