id_products,category,subtotal
36rndpzwwwnw6CsLUG59,3666663050331,70
4M1IOTexJZ621i13LYuY,3666663050331,70
5MiaXE4j3QmRPKtqn6Qy,3666663050331,70
9J2j4AnhaqHjFYJGMm9T,3666663050331,70
BOe6gE7hQxtvzfZVEWoi,3666663050331,70
BopdifF65c065jJwto7I,3666663050331,70
CMiAvwVMN9ijTGOiDWi5,3666663050331,70
Dol1qUGvVhDsH7TKBUTE,3666663050331,70
Fj0ibPVjkjW8IdsGX0TM,3666663050331,70
G7KgrOis3C1yA989rIcK,3666663050331,70
GP0joDDpQVEDd94giUH3,3666663050331,70
H6i0zTHCBaabJRhb7YIR,3666663050331,70
HoYV4YziPsIfOIprR7qV,3666663050331,70
IEDUJJz3i8NGMb5jBeGS,3666663050331,70
J4Toa1mlbxJlPzZAK9N3,3666663050331,70
NyPjHNOmVtlqVGpP9PmQ,3666663050331,70
O00xMjAsNSgwbnvrFwNY,3666663050331,70
P7Ey8meHzfxP9Iw00bhk,3666663050331,70
Qp1Fm3ECENfL30blzFFf,3666663050331,70
SSJUWylmijqzNOlKLGBT,3666663050331,70
T1G7Dk9Ryfgk3teFSLIT,3666663050331,70
TXKceD40egEmXPKSZNRm,3666663050331,70
UJcNrVqS7WP1BHVkFR5M,3666663050331,70
WBcE8ORbZ1lUlavrjxPU,3666663050331,70
WSaTC1Evor6U0gR5kdXH,3666663050331,70
XDYDxl3Qo9aci6sJl910,3666663050331,70
XlramuzzW9Uz9LPMFLPT,3666663050331,70
YobEN4Jc3gVZTiskPB3d,3666663050331,70
aRoliHHXskcUEJhUZIRV,3666663050331,70
depqW4IwfwSRjXPxs4R1,3666663050331,70
gXUhHPFfxVpe25kOci1Q,3666663050331,70
hPkc8fbwHHDjZOERMDq9,3666663050331,70
i4uadIJC3Hl5ut2gpvVE,3666663050331,70
j8ZcgKfZZWnHby8PURn2,3666663050331,70
nVpFkwlLpvAyG7c7eiOE,3666663050331,70
p4rpP9Q2vmesGkJhpcrd,3666663050331,70
